시장명,시장유형,소재지도로명주소,시장개설주기,소재지지번주소,경도(WGS84좌표),위도(WGS84좌표),점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실 보유여부,주차장 보유여부,개설년도,연락처,데이터기준일자
녹번시장,상설,서울특별시 은평구 은평로 204-4(응암동),매일,서울특별시 은평구 응암동 74-7,126.9306872,37.6009318,30,"농수축산물, 생필품, 잡화 등",,,N,N,1966,02-353-5334,2015-03-10
연서시장,상설,서울특별시 은평구 통일로 850(불광동),매일,서울특별시 은평구 불광동 310-118,126.9222375,37.6194898,117,"농수축산물, 생필품, 잡화 등",온누리상품권,,Y,N,1975,02-355-1272,2015-03-10
역촌중앙시장,상설,서울특별시 은평구 연서로17길 18-6(갈현동),매일,서울특별시 은평구 갈현동 467-1,126.916164,37.6132452,56,"농수축산물, 생필품, 잡화 등",온누리상품권,,N,N,1970,02-359-8595,2015-03-10
증산종합시장,상설,서울특별시 은평구 증산로3길 12(증산동),매일,서울특별시 은평구 증산동 184-9,126.9049903,37.5814731,60,"농수축산물, 생필품, 잡화 등",온누리상품권,,N,N,1978,02-373-5990,2015-03-10
대림시장,상설,서울특별시 은평구 응암로4길 22(응암동),매일,서울특별시 은평구 응암동 754-1,126.9177003,37.5872402,104,"농수축산물, 생필품, 잡화 등",온누리상품권,,Y,N,1979,02-302-1666,2015-03-10
양지시장,상설,서울특별시 은평구 응암로4길 20(응암동),매일,서울특별시 은평구 응암동 754-1,126.917544,37.5865156,1,"농수축산물, 생필품, 공산품 등",온누리상품권,,Y,N,1972,02-302-6729,2015-03-10
응암시장,상설,서울특별시 은평구 응암로 252(응암동),매일,서울특별시 은평구 응암동 427-126,126.9184348,37.5944563,10,"생필품, 잡화 등",온누리상품권,,N,N,1970,02-355-0727,2015-03-10
제일시장,상설,서울특별시 은평구 통일로 731(대조동),매일,"서울특별시 은평구 대조동 14-1, 14-21",126.9291644,37.6103056,46,"농수축산물, 생필품, 잡화 등",온누리상품권,,N,N,1970,02-384-3889,2015-03-10
대조시장,상설,서울특별시 은평구 진흥로 153(대조동),매일,"서울특별시 은평구 대조동 12, 26번지 일대",126.926346,37.6090652,180,"농수축산물, 생필품, 잡화 등",온누리상품권,http://www.daejomarket.com,N,N,2011,02-382-5599,2015-03-10
신응암시장,상설,서울특별시 은평구 응암로22길 3-1(응암동),매일,서울특별시 은평구 응암동 427-130~113,126.9188273,37.5940869,56,"농수축산물, 생필품, 잡화 등",온누리상품권,,N,N,2011,02-389-3330,2015-03-10
대림골목시장,상설,서울특별시 은평구 응암로12길 8(응암동),매일,"서울특별시 은평구 응암동 602-1~31, 750-1~695-22 일대",126.9172639,37.587576,69,"농수축산물, 생필품, 잡화 등",온누리상품권,,Y,N,2011,02-373-8612,2015-03-10
연신내상점가,상설,서울특별시 은평구 통일로85길 6-12(갈현동),매일,서울특별시 은평구 갈현동 393~400번지 일대,126.9186677,37.6195516,205,"생필품, 잡화, 식품 등",온누리상품권,,N,N,2011,070-8927-3254,2015-03-10
